anio;item;categoria;seccion;combustible;tcal
2008;OFERTA;Producción Primaria;Energéticos Primarios;Petróleo Crudo;1397,41619
2008;OFERTA;Importación;Energéticos Primarios;Petróleo Crudo;108806,2132
2008;OFERTA;Producción Primaria;Energéticos Primarios;Gas Natural;18854,75245
2008;OFERTA;Importación;Energéticos Primarios;Gas Natural;7287,378755
2008;OFERTA;Producción Primaria;Energéticos Primarios;Carbón;2764,914675
2008;OFERTA;Importación;Energéticos Primarios;Carbón;43399,63552
2008;OFERTA;Producción Primaria;Energéticos Primarios;Biomasa;51169,57832
2008;OFERTA;Importación;Energéticos Primarios;Biomasa;0
2008;OFERTA;Producción Primaria;Energéticos Primarios;Energía Hídrica;21496,38606
2008;OFERTA;Importación;Energéticos Primarios;Energía Hídrica;0
2008;OFERTA;Producción Primaria;Energéticos Primarios;Energía Eólica;32,77899116
2008;OFERTA;Importación;Energéticos Primarios;Energía Eólica;0
2008;OFERTA;Producción Primaria;Derivados De Petróleo;Petróleo Diesel;0
2008;OFERTA;Importación;Derivados De Petróleo;Petróleo Diesel;54810,135
2008;OFERTA;Producción Primaria;Derivados De Petróleo;Petróleo Combustible;0
2008;OFERTA;Producción Primaria;Derivados De Petróleo;Gasolina de motor;0
2008;OFERTA;Producción Primaria;Derivados De Petróleo;Kerosene;0
2008;OFERTA;Producción Primaria;Derivados De Petróleo;Gas Licuado;0
2008;OFERTA;Producción Primaria;Derivados De Petróleo;Gasolina de Aviación;0
2008;OFERTA;Producción Primaria;Derivados De Petróleo;Kerosene de Aviación;0
2008;OFERTA;Producción Primaria;Derivados De Petróleo;Nafta;0
2008;OFERTA;Producción Primaria;Derivados De Petróleo;Gas de Refinería;0
2008;OFERTA;Producción Primaria;Derivados De Petróleo;Coque de Petróleo;0
2008;OFERTA;Producción Primaria;Derivados De Petróleo;D.I. de Petróleo;0
2008;OFERTA;Producción Primaria;Electricidad;Electricidad;0
2008;OFERTA;Producción Primaria;Derivados De Carbón;Coque Mineral;0
2008;OFERTA;Producción Primaria;Derivados De Carbón;Gas Coque;0
2008;OFERTA;Producción Primaria;Derivados De Carbón;Alquitrán;0
2008;OFERTA;Producción Primaria;Derivados De Carbón;Gas de Altos Hornos;0
2008;OFERTA;Producción Primaria;Gas Corriente;Gas Corriente;0
2008;OFERTA;Producción Primaria;Metanol;Metanol;0
2008;OFERTA;Importación;Derivados De Petróleo;Petróleo Combustible;6149,762912
2008;OFERTA;Importación;Derivados De Petróleo;Gasolina de motor;4804,122031
2008;OFERTA;Importación;Derivados De Petróleo;Kerosene;0
2008;OFERTA;Importación;Derivados De Petróleo;Gas Licuado;10898,28973
2008;OFERTA;Importación;Derivados De Petróleo;Gasolina de Aviación;0
2008;OFERTA;Importación;Derivados De Petróleo;Kerosene de Aviación;3819,760518
2008;OFERTA;Importación;Derivados De Petróleo;Nafta;0
2008;OFERTA;Importación;Derivados De Petróleo;Gas de Refinería;0
2008;OFERTA;Importación;Derivados De Petróleo;Coque de Petróleo;2798,84759
2008;OFERTA;Importación;Derivados De Petróleo;D.I. de Petróleo;0
2008;OFERTA;Importación;Electricidad;Electricidad;992,6041482
2008;OFERTA;Importación;Derivados De Carbón;Coque Mineral;443,6208
2008;OFERTA;Importación;Derivados De Carbón;Gas Coque;0
2008;OFERTA;Importación;Derivados De Carbón;Alquitrán;0
2008;OFERTA;Importación;Derivados De Carbón;Gas de Altos Hornos;0
2008;OFERTA;Importación;Gas Corriente;Gas Corriente;0
2008;OFERTA;Importación;Metanol;Metanol;0
2008;OFERTA;Exportación;Energéticos Primarios;Petróleo Crudo;0
2008;OFERTA;Exportación;Energéticos Primarios;Gas Natural;0
2008;OFERTA;Exportación;Energéticos Primarios;Carbón;0
2008;OFERTA;Exportación;Energéticos Primarios;Biomasa;0
2008;OFERTA;Exportación;Energéticos Primarios;Energía Hídrica;0
2008;OFERTA;Exportación;Energéticos Primarios;Energía Eólica;0
2008;OFERTA;Exportación;Derivados De Petróleo;Petróleo Diesel;5851,429683
2008;OFERTA;Exportación;Derivados De Petróleo;Petróleo Combustible;0
2008;OFERTA;Exportación;Derivados De Petróleo;Gasolina de motor;6748,392777
