anio,seccion,tcal
2008,Derivados De Carbón,3240
2008,Derivados De Petróleo,20864
2008,Electricidad,14062
2008,Energéticos Primarios,20012
2008,Metanol,516
2009,Derivados De Carbón,2963
2009,Derivados De Petróleo,18160
2009,Electricidad,13551
2009,Energéticos Primarios,18377
2009,Metanol,447
2010,Derivados De Carbón,668
2010,Derivados De Petróleo,15098
2010,Electricidad,12143
2010,Energéticos Primarios,19567
2011,Derivados De Carbón,1083
2011,Derivados De Petróleo,20157
2011,Electricidad,13937
2011,Energéticos Primarios,21387
2012,Derivados De Carbón,1693
2012,Derivados De Petróleo,19279
2012,Electricidad,15486
2012,Energéticos Primarios,23788
2013,Derivados De Carbón,896
2013,Derivados De Petróleo,21137
2013,Electricidad,15944
2013,Energéticos Primarios,28078
2014,Derivados De Carbón,703
2014,Derivados De Petróleo,22864
2014,Electricidad,14550
2014,Energéticos Primarios,28584
2014,Gas Corriente,5
2015,Derivados De Carbón,784
2015,Derivados De Petróleo,19485
2015,Electricidad,14905
2015,Energéticos Primarios,27565
2015,Gas Corriente,1
2016,Derivados De Carbón,818
2016,Derivados De Petróleo,18946
2016,Electricidad,16204
2016,Energéticos Primarios,26821
2016,Gas Corriente,4
2017,Derivados De Carbón,763
2017,Derivados De Petróleo,15393
2017,Electricidad,13922
2017,Energéticos Primarios,27035
2018,Derivados De Carbón,836
2018,Derivados De Petróleo,13996
2018,Electricidad,15301
2018,Energéticos Primarios,27717
2019,Derivados De Carbón,717
2019,Derivados De Petróleo,14368
2019,Electricidad,15138
2019,Energéticos Primarios,27224
2020,Derivados De Carbón,734
2020,Derivados De Petróleo,14838
2020,Electricidad,14494
2020,Energéticos Primarios,25035
