anio,seccion,tcal
2008,Derivados De Carbón,139
2008,Derivados De Petróleo,15411
2008,Electricidad,17437
2008,Energéticos Primarios,867
2009,Derivados De Carbón,85
2009,Derivados De Petróleo,16969
2009,Electricidad,17912
2009,Energéticos Primarios,1040
2010,Derivados De Carbón,102
2010,Derivados De Petróleo,18963
2010,Electricidad,18780
2010,Energéticos Primarios,9073
2011,Derivados De Carbón,69
2011,Derivados De Petróleo,19680
2011,Electricidad,19167
2011,Energéticos Primarios,1694
2012,Derivados De Carbón,91
2012,Derivados De Petróleo,17113
2012,Electricidad,20874
2012,Energéticos Primarios,1838
2013,Derivados De Carbón,148
2013,Derivados De Petróleo,17770
2013,Electricidad,20842
2013,Energéticos Primarios,1700
2014,Derivados De Carbón,22
2014,Derivados De Petróleo,22885
2014,Electricidad,21560
2014,Energéticos Primarios,1373
2015,Derivados De Carbón,37
2015,Derivados De Petróleo,24110
2015,Electricidad,21070
2015,Energéticos Primarios,2450
2016,Derivados De Carbón,33
2016,Derivados De Petróleo,22742
2016,Electricidad,21062
2016,Energéticos Primarios,2682
2017,Derivados De Carbón,46
2017,Derivados De Petróleo,22954
2017,Electricidad,21977
2017,Energéticos Primarios,2820
2018,Derivados De Carbón,11
2018,Derivados De Petróleo,24300
2018,Electricidad,22583
2018,Energéticos Primarios,2778
2019,Derivados De Carbón,38
2019,Derivados De Petróleo,23703
2019,Electricidad,23155
2019,Energéticos Primarios,2516
2020,Derivados De Carbón,29
2020,Derivados De Petróleo,24094
2020,Electricidad,24101
2020,Energéticos Primarios,2770
