anio,seccion,tcal
2008,Derivados De Petróleo,13238
2008,Electricidad,14091
2008,Energéticos Primarios,34781
2008,Gas Corriente,254
2009,Derivados De Petróleo,13640
2009,Electricidad,14499
2009,Energéticos Primarios,35240
2009,Gas Corriente,232
2010,Derivados De Petróleo,15503
2010,Electricidad,15801
2010,Energéticos Primarios,22191
2010,Gas Corriente,150
2011,Derivados De Petróleo,17708
2011,Electricidad,16256
2011,Energéticos Primarios,22432
2011,Gas Corriente,178
2012,Derivados De Petróleo,15885
2012,Electricidad,16733
2012,Energéticos Primarios,22835
2012,Gas Corriente,199
2013,Derivados De Petróleo,14870
2013,Electricidad,18726
2013,Energéticos Primarios,23236
2013,Gas Corriente,177
2014,Derivados De Petróleo,13596
2014,Electricidad,19698
2014,Energéticos Primarios,24888
2014,Gas Corriente,99
2015,Derivados De Petróleo,14803
2015,Electricidad,20250
2015,Energéticos Primarios,24569
2015,Gas Corriente,77
2016,Derivados De Petróleo,17210
2016,Electricidad,20612
2016,Energéticos Primarios,24454
2016,Gas Corriente,43
2017,Derivados De Petróleo,18922
2017,Electricidad,21000
2017,Energéticos Primarios,24864
2017,Gas Corriente,14
2018,Derivados De Petróleo,19410
2018,Electricidad,21703
2018,Energéticos Primarios,25152
2018,Gas Corriente,12
2019,Derivados De Petróleo,18927
2019,Electricidad,22233
2019,Energéticos Primarios,25431
2020,Derivados De Petróleo,17597
2020,Electricidad,22277
2020,Energéticos Primarios,25244
