anio,tcal,categoria
2008,33854,Minería
2009,36006,Minería
2010,46918,Minería
2011,40610,Minería
2012,39916,Minería
2013,40460,Minería
2014,45840,Minería
2015,47667,Minería
2016,46519,Minería
2017,47797,Minería
2018,49672,Minería
2019,49412,Minería
2020,50994,Minería
2008,58694,Industrial
2009,53498,Industrial
2010,47476,Industrial
2011,56564,Industrial
2012,60246,Industrial
2013,66055,Industrial
2014,66706,Industrial
2015,62740,Industrial
2016,62793,Industrial
2017,57113,Industrial
2018,57850,Industrial
2019,57447,Industrial
2020,55101,Industrial
2008,28735,Transporte
2009,22411,Transporte
2010,84589,Transporte
2011,87180,Transporte
2012,87697,Transporte
2013,93900,Transporte
2014,89932,Transporte
2015,95651,Transporte
2016,100922,Transporte
2017,103739,Transporte
2018,107681,Transporte
2019,109873,Transporte
2020,93628,Transporte
2008,62364,"Público, residencial, comercial y sanitaria"
2009,63611,"Público, residencial, comercial y sanitaria"
2010,53645,"Público, residencial, comercial y sanitaria"
2011,56574,"Público, residencial, comercial y sanitaria"
2012,55652,"Público, residencial, comercial y sanitaria"
2013,57009,"Público, residencial, comercial y sanitaria"
2014,58281,"Público, residencial, comercial y sanitaria"
2015,59699,"Público, residencial, comercial y sanitaria"
2016,62319,"Público, residencial, comercial y sanitaria"
2017,64800,"Público, residencial, comercial y sanitaria"
2018,66277,"Público, residencial, comercial y sanitaria"
2019,66591,"Público, residencial, comercial y sanitaria"
2020,65118,"Público, residencial, comercial y sanitaria"
