anio,tcal,categoria
2008,62364,"Público, residencial, comercial y sanitaria"
2009,63611,"Público, residencial, comercial y sanitaria"
2010,53645,"Público, residencial, comercial y sanitaria"
2011,56574,"Público, residencial, comercial y sanitaria"
2012,55652,"Público, residencial, comercial y sanitaria"
2013,57009,"Público, residencial, comercial y sanitaria"
2014,58281,"Público, residencial, comercial y sanitaria"
2015,59699,"Público, residencial, comercial y sanitaria"
2016,62319,"Público, residencial, comercial y sanitaria"
2017,64800,"Público, residencial, comercial y sanitaria"
2018,66277,"Público, residencial, comercial y sanitaria"
2019,66591,"Público, residencial, comercial y sanitaria"
2020,65118,"Público, residencial, comercial y sanitaria"
