anio,seccion,tcal
2008,Derivados De Petróleo,28690
2008,Electricidad,45
2009,Derivados De Petróleo,22367
2009,Electricidad,44
2010,Derivados De Petróleo,84017
2010,Electricidad,375
2010,Energéticos Primarios,197
2011,Derivados De Petróleo,86582
2011,Electricidad,410
2011,Energéticos Primarios,188
2012,Derivados De Petróleo,86965
2012,Electricidad,407
2012,Energéticos Primarios,325
2013,Derivados De Petróleo,93149
2013,Electricidad,439
2013,Energéticos Primarios,312
2014,Derivados De Petróleo,88748
2014,Electricidad,812
2014,Energéticos Primarios,372
2015,Derivados De Petróleo,94419
2015,Electricidad,936
2015,Energéticos Primarios,296
2016,Derivados De Petróleo,99804
2016,Electricidad,847
2016,Energéticos Primarios,271
2017,Derivados De Petróleo,103091
2017,Electricidad,465
2017,Energéticos Primarios,183
2018,Derivados De Petróleo,106936
2018,Electricidad,595
2018,Energéticos Primarios,150
2019,Derivados De Petróleo,108968
2019,Electricidad,751
2019,Energéticos Primarios,154
2020,Derivados De Petróleo,93008
2020,Electricidad,540
2020,Energéticos Primarios,80
